top_absence,abundance,type,lifeform,target_abbr,target,constituents
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix niphoclada
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix planifolia
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix prolixa
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix pseudomonticola
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix pseudomyrsinites
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix pulchra
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix richardsonii
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix scouleriana
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix setchelliana
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix sitchensis
TRUE,TRUE,diagnostic species set,3. shrub,rubspe,Rubus spectabilis,Rubus spectabilis
TRUE,TRUE,diagnostic species set,3. shrub,vaculi,Vaccinium uliginosum,Vaccinium uliginosum
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas shrubs,Dryas
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas shrubs,Dryas ajanensis
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas shrubs,Dryas ajanensis ssp. beringensis
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas shrubs,Dryas alaskensis
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas shrubs,Dryas drummondii
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas shrubs,Dryas hookeriana
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas shrubs,Dryas integrifolia
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas shrubs,Dryas integrifolia ssp. integrifolia
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dryas,Dryas shrubs,Dryas integrifolia ssp. sylvatica
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix arctica
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix arctophila
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix chamissonis
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix nummularia
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix ovalifolia
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix ovalifolia var. arctolitoralis
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix ovalifolia var. cyclophylla
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix ovalifolia var. glacialis
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix ovalifolia var. ovalifolia
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix phlebophylla
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix polaris
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix reticulata
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix rotundifolia
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix rotundifolia var. dodgeana
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix rotundifolia var. rotundifolia
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix sphenophylla
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix sphenophylla ssp. pseudotorulosa
TRUE,TRUE,diagnostic species set,4. dwarf shrub,dsalix,dwarf Salix,Salix stolonifera
TRUE,TRUE,diagnostic species set,4. dwarf shrub,empnig,Empetrum nigrum,Empetrum
TRUE,TRUE,diagnostic species set,4. dwarf shrub,empnig,Empetrum nigrum,Empetrum nigrum
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Cassiope
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Cassiope lycopodioides
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Cassiope mertensiana
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Cassiope tetragona
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Cassiope tetragona ssp. saximontana
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Cassiope tetragona ssp. tetragona
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Empetrum
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Empetrum nigrum
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Harrimanella
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Harrimanella stelleriana
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Phyllodoce
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Phyllodoce aleutica
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Phyllodoce caerulea
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Phyllodoce empetriformis
TRUE,TRUE,diagnostic species set,4. dwarf shrub,nerishr,needleleaf ericaceous shrubs,Phyllodoce glanduliflora
TRUE,TRUE,diagnostic species set,4. dwarf shrub,rhoshr,Rhododendron shrubs,Rhododendron
TRUE,TRUE,diagnostic species set,4. dwarf shrub,rhoshr,Rhododendron shrubs,Rhododendron groenlandicum
TRUE,TRUE,diagnostic species set,4. dwarf shrub,rhoshr,Rhododendron shrubs,Rhododendron lapponicum
TRUE,TRUE,diagnostic species set,4. dwarf shrub,rhoshr,Rhododendron shrubs,Rhododendron lapponicum ssp. alpinum
TRUE,TRUE,diagnostic species set,4. dwarf shrub,rhoshr,Rhododendron shrubs,Rhododendron tomentosum
TRUE,TRUE,diagnostic species set,4. dwarf shrub,rhoshr,Rhododendron shrubs,Rhododendron tomentosum ssp. decumbens
FALSE,TRUE,diagnostic species set,4. dwarf shrub,vacvit,Vaccinium vitis-idaea,Vaccinium vitis-idaea
TRUE,TRUE,diagnostic species set,5. graminoid,erivag,Eriophorum vaginatum,Eriophorum vaginatum
FALSE,TRUE,functional group,5. graminoid,gramin,graminoid,graminoid
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Calamagrostis deschampsioides
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Carex glareosa
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Carex glareosa ssp. glareosa
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Carex glareosa ssp. pribylovensis
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Carex lyngbyei
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Carex ramenskii
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Carex subspathacea
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Carex ursina
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Puccinellia alaskana
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Puccinellia andersonii
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Puccinellia angustata
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Puccinellia geniculata
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Puccinellia nutkaensis
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Puccinellia phryganodes
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Puccinellia pumila
TRUE,TRUE,diagnostic species set,5. graminoid,halgra,halophytic graminoids,Puccinellia vaginata
TRUE,TRUE,diagnostic species set,5. graminoid,mwcalama,mesic-wet Calamagrostis,Calamagrostis canadensis
TRUE,TRUE,diagnostic species set,5. graminoid,mwcalama,mesic-wet Calamagrostis,Calamagrostis canadensis ssp. canadensis
TRUE,TRUE,diagnostic species set,5. graminoid,mwcalama,mesic-wet Calamagrostis,Calamagrostis canadensis ssp. langsdorffii
TRUE,TRUE,diagnostic species set,5. graminoid,mwcalama,mesic-wet Calamagrostis,Calamagrostis inexpansa
TRUE,TRUE,diagnostic species set,5. graminoid,mwcalama,mesic-wet Calamagrostis,Calamagrostis neglecta
TRUE,TRUE,diagnostic species set,5. graminoid,mwcalama,mesic-wet Calamagrostis,Calamagrostis neglecta ssp. groenlandica
TRUE,TRUE,diagnostic species set,5. graminoid,mwcalama,mesic-wet Calamagrostis,Calamagrostis neglecta ssp. neglecta
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex adelostoma
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex aquatilis
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex arcta
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex bicolor
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex chordorrhiza
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex diandra
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex echinata
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex echinata ssp. echinata
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex echinata ssp. phyllomanica
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex enanderi
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex glareosa
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex glareosa ssp. glareosa
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex glareosa ssp. pribylovensis
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex gynocrates
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex holostoma
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex interior
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex kellogii
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex lachenalii
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex lasiocarpa
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex laxa
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex leptalea
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex leptalea ssp. leptalea
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex limosa
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex livida
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex lyngbyei
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex marina
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex marina ssp. marina
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex membranacea
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex microglochin
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex pauciflora
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex paupercula
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex pluriflora
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex rariflora
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex rostrata
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex rotundata
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex saxatilis
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex saxatilis ssp. laxa
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex sitchensis
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex utriculata
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex vaginata
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex viridula
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Carex viridula ssp. viridula
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Eriophorum ×medium
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Eriophorum ×medium ssp. album
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Eriophorum angustifolium
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Eriophorum chamissonis
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Eriophorum gracile
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Eriophorum gracile ssp. gracile
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Eriophorum komarovii
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Eriophorum russeolum
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Eriophorum russeolum ssp. leiocarpum
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Eriophorum scheuchzeri
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Eriophorum scheuchzeri ssp. arcticum
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Eriophorum scheuchzeri ssp. scheuchzeri
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Eriophorum triste
TRUE,TRUE,diagnostic species set,5. graminoid,wetsed,wetland sedges,Eriophorum viridicarinatum
FALSE,TRUE,functional group,6. forb,gramin,forb,forb
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Aulacomnium acuminatum
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Aulacomnium palustre
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Calliergon
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Calliergon cordifolium
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Calliergon giganteum
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Calliergon megalophyllum
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Calliergon richardsonii
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Calliergonella
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Calliergonella cuspidata
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Drepanocladus
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Drepanocladus aduncus
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Drepanocladus arcticus
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Drepanocladus latinervis
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Drepanocladus longifolius
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Drepanocladus polygamus
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Drepanocladus sordidus
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Hamatocaulis
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Hamatocaulis lapponicus
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Hamatocaulis vernicosus
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Loeskypnum
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Loeskypnum badium
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Loeskypnum wickesiae
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Meesia
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Meesia triquetra
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Meesia uliginosa
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Pseudocalliergon
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Pseudocalliergon angustifolium
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Pseudocalliergon brevifolium
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Pseudocalliergon trifarium
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Pseudocalliergon turgescens
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Sarmentypnum
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Sarmentypnum exannulatum
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Sarmentypnum pseudosarmentosum
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Sarmentypnum sarmentosum
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Sarmentypnum trichophyllum
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Sarmentypnum tundrae
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Scorpidium
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Tomentypnum
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Tomentypnum nitens
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Warnstorfia
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Warnstorfia fluitans
FALSE,TRUE,diagnostic species set,7. bryophytes,bromos,brown moss,Warnstorfia pseudostraminea
FALSE,TRUE,functional group,7. bryophytes,bryoph,bryophytes,liverwort
FALSE,TRUE,functional group,7. bryophytes,bryoph,bryophytes,moss
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Abietinella
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Abietinella abietina
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Antitrichia
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Antitrichia californica
